
2025/01/06 (14:39:45) | ===> btop++ v.1.4.0
2025/01/06 (14:39:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (17:43:59) | ===> btop++ v.1.4.0
2025/01/06 (17:43:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (20:14:32) | ===> btop++ v.1.4.0
2025/01/06 (20:14:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (19:21:40) | ===> btop++ v.1.4.0
2025/01/12 (19:21:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (19:22:56) | ===> btop++ v.1.4.0
2025/01/12 (19:22:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (16:40:47) | ===> btop++ v.1.4.0
2025/02/03 (16:40:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (12:56:50) | ===> btop++ v.1.4.0
2025/02/07 (12:56:50) | WARNING: Intel GPU: Failed to initialize PMU
